clean_fill_px,days_used,unliquidated_frac,realized_fraction,drag,ticker
23.5,20,0.9999996417271954,0.8000000711549758,-0.19999992884502416,JMTAUTOLTD.NS
24.1,20,0.9999989690868324,0.8000002047451001,-0.19999979525489986,JVLAGRO.NS
512.6,20,0.9999992776076218,0.8000001434711521,-0.19999985652884789,KEMROCK.NS
20.9,20,0.9999939215126641,0.8000012072214593,-0.1999987927785407,KFA.NS
32.0,20,0.9999995685700448,0.8000000856843935,-0.1999999143156065,KOUTONS.NS
20.35,20,0.9999993639347257,0.8000001263261083,-0.19999987367389171,KWALITY.NS
20.05,20,0.9999964189197481,0.8000007112224948,-0.19999928877750517,LITL.NS
21.35,20,0.9999993043218244,0.8000001381655623,-0.19999986183443774,LML.NS
208.5,20,0.9999993511494742,0.8000001288653305,-0.19999987113466955,MATRIXLABS.NS
425.55,20,0.9999987675177409,0.8000002447778448,-0.19999975522215518,MOHOTAIND.NS
21.0,20,0.9999992340078685,0.8000001521303062,-0.19999984786969383,MOSERBAER.NS
25.65,20,0.999999687069652,0.800000062149711,-0.19999993785028902,NATNLSTEEL.NS
21.85,20,0.9999997524220406,0.8000000491703624,-0.19999995082963762,NEPCMICON.NS
28.55,20,0.9999997305442194,0.8000000535154195,-0.19999994648458053,NICCO.NS
56.05,20,0.9999985849616647,0.8000002810344992,-0.19999971896550084,NRC.NS
184.45,20,0.9999992687069036,0.8000001452388844,-0.1999998547611156,OMNITECH.NS
21.35,20,0.9999995397187211,0.800000091414427,-0.19999990858557304,ORBITCORP.NS
286.2,20,0.999999588010806,0.8000000818233497,-0.1999999181766503,PARAL.NS
231.35,20,0.9999996159505758,0.8000000762743562,-0.1999999237256438,PETRONENGG.NS
242.45,20,0.999999687379141,0.8000000620882447,-0.1999999379117553,PLETHICO.NS
470.5,20,0.999999484113324,0.8000001024579688,-0.19999989754203118,POLARIS.NS
27.15,20,0.9999997687747283,0.8000000459226272,-0.1999999540773728,PRADIP.NS
155.7,20,0.9999994357642968,0.800000112060355,-0.19999988793964496,PRITHVI.NS
85.95,20,0.9999992360587032,0.8000001517229993,-0.19999984827700068,PSL.NS
49.55,20,0.9999962795433683,0.8000007389034204,-0.19999926109657962,PSTL.NS
62.25,20,0.999999640018659,0.8000000714943002,-0.1999999285056998,RAMSARUP.NS
53.6,20,0.9999997969477461,0.8000000403273094,-0.19999995967269057,RBN.NS
161.55,20,0.9999995409585659,0.8000000911681868,-0.19999990883181318,ROHITFERRO.NS
89.6,20,0.9999992889125904,0.8000001412259221,-0.1999998587740779,SAMTEL.NS
113.4,20,0.9999988479562384,0.8000002288023114,-0.19999977119768864,SGJHL.NS
21.0,20,0.9999993512682501,0.8000001288417409,-0.19999987115825912,SHARONBIO.NS
89.5,20,0.9999997311359924,0.8000000533978905,-0.1999999466021095,SHLAKSHMI.NS
22.35,20,0.9999980410039934,0.8000003890675238,-0.1999996109324762,SKUMARSYNF.NS
25.65,20,0.999999283351323,0.8000001423304213,-0.19999985766957873,SMPL.NS
21.75,20,0.9999998680093158,0.8000000262140855,-0.1999999737859145,SPECTACLE.NS
21.4,20,0.999998856033691,0.8000002271980845,-0.1999997728019155,STERLINBIO.NS
21.55,20,0.999999903698304,0.8000000191260538,-0.19999998087394621,SUDAR.NS
11.15,20,0.9999993257738778,0.8000001339050652,-0.1999998660949348,SUNILHITEC.NS
39.75,20,0.999999861961585,0.8000000274151985,-0.1999999725848015,SURYAJYOTI.NS
49.4,20,0.9999995754329535,0.8000000843213815,-0.19999991567861852,SYNCOM.NS
54.5,20,0.9999995231761823,0.8000000946998677,-0.19999990530013234,TARAJEWELS.NS
60.2,20,0.9999993629490059,0.8000001265218778,-0.1999998734781222,TODAYS.NS
23.65,20,0.9999987378468155,0.8000002506706562,-0.19999974932934383,TULIP.NS
150.4,20,0.9999997386815374,0.8000000518993032,-0.19999994810069677,UBENGG.NS
40.0,20,0.9999993769256021,0.800000123746048,-0.199999876253952,UBHOLDINGS.NS
53.0,20,0.9999995502588119,0.8000000893211061,-0.1999999106788939,USHERAGRO.NS
21.35,20,0.9999995434461388,0.8000000906741411,-0.19999990932585887,UTTAMSTL.NS
24.5,20,0.9999997109375101,0.8000000574094217,-0.1999999425905783,VARUN.NS
85.05,20,0.9999995212522417,0.8000000950819727,-0.19999990491802733,ZENITHCOMP.NS
64.3,20,0.9999985025929639,0.8000002973933826,-0.19999970260661737,ZYLOG.NS
