ticker,nse_symbol,bse_code,isin,listing_date,delisting_date
COROMANDEL.NS,COROMANDEL,506395,INE169A01031,2010-03-12,2022-12-30
CRAFTSMAN.NS,CRAFTSMAN,543276,INE00LO01017,2021-09-17,2022-12-30
CRANESSOFT.NS,CRANESSOFT,512093,INE234B01023,2010-01-08,2010-02-12
CREDITACC.NS,CREDITACC,541770,INE741K01010,2019-02-15,2022-12-30
CRESTANI.NS,CRESTANI,,,2010-10-29,2010-11-19
CREWBOS.NS,CREWBOS,,INE514G01019,2010-09-10,2011-01-14
CRISIL.NS,CRISIL,500092,INE007A01025,2011-08-19,2022-12-30
CROMPTON.NS,CROMPTON,539876,INE299U01018,2016-11-04,2022-12-30
CUB.NS,CUB,532210,INE491A01021,2010-01-22,2022-12-30
CUMMINSIND.NS,CUMMINSIND,500480,INE298A01020,2010-01-01,2022-12-30
CYIENT.NS,CYIENT,532175,INE136B01020,2010-02-12,2022-12-30
DABUR.NS,DABUR,500096,INE016A01026,2010-01-01,2022-12-30
DALBHARAT.NS,DALBHARAT,542216,INE00R701025,2019-06-28,2022-12-30
DATAPATTNS.NS,DATAPATTNS,543428,INE0IX101010,2022-06-17,2022-12-30
DBREALTY.NS,DBREALTY,533160,INE879I01012,2010-08-20,2022-12-30
DCMSHRIRAM.NS,DCMSHRIRAM,523367,INE499A01024,2014-05-09,2022-12-30
DEEPAKFERT.NS,DEEPAKFERT,500645,INE501A01019,2010-01-01,2022-12-30
DEEPAKNTR.NS,DEEPAKNTR,506401,INE288B01029,2016-09-30,2022-12-30
DELHIVERY.NS,DELHIVERY,543529,INE148O01028,2022-11-18,2022-12-30
DEVYANI.NS,DEVYANI,543330,INE872J01023,2022-02-11,2022-12-30
DEWANHOUS.NS,DEWANHOUS,,,2011-12-16,2012-05-25
DFMFOODS.NS,DFMFOODS,,INE456C01020,2020-01-31,2022-12-30
DHFL.NS,DHFL,,INE202B01012,2010-01-08,2019-11-29
DIVISLAB.NS,DIVISLAB,532488,INE361B01024,2010-01-01,2022-12-30
DIXON.NS,DIXON,540699,INE935N01020,2018-03-16,2022-12-30
DLF.NS,DLF,532868,INE271C01023,2010-01-01,2022-12-30
DMART.NS,DMART,540376,INE192R01011,2017-09-15,2022-12-30
DRREDDY.NS,DRREDDY,500124,INE089A01031,2010-01-01,2022-12-30
ECLERX.NS,ECLERX,532927,INE738I01010,2010-08-20,2022-12-30
EDL.NS,EDL,,INE180G01019,2016-01-08,2016-02-26
EDSERV.NS,EDSERV,,INE889J01019,2010-01-01,2011-12-30
EICHERMOT.NS,EICHERMOT,505200,INE066A01021,2010-03-05,2022-12-30
EIDPARRY.NS,EIDPARRY,500125,INE126A01031,2010-01-01,2022-12-30
EIHOTEL.NS,EIHOTEL,500840,INE230A01023,2010-01-01,2022-12-30
ELAND.NS,ELAND,532820,INE311H01018,2010-10-22,2010-12-17
ELDERPHARM.NS,ELDERPHARM,,INE975A01015,2010-09-10,2015-11-27
ELECON.NS,ELECON,505700,INE205B01031,2010-01-01,2022-12-30
ELGIEQUIP.NS,ELGIEQUIP,522074,INE285A01027,2018-01-19,2022-12-30
EMAMILTD.NS,EMAMILTD,531162,INE548C01032,2010-01-29,2022-12-30
EMCO.NS,EMCO,,INE078A01026,2010-01-08,2014-07-18
ENDURANCE.NS,ENDURANCE,540153,INE913H01037,2017-04-14,2022-12-30
ENGINERSIN.NS,ENGINERSIN,532178,INE510A01028,2010-01-01,2022-12-30
ERAINFRA.NS,ERAINFRA,530323,,2010-01-01,2013-11-01
ERIS.NS,ERIS,540596,INE406M01024,2017-12-22,2022-12-30
ESCORTS.NS,ESCORTS,500495,INE042A01014,2010-01-01,2022-12-30
ESSAROIL.NS,ESSAROIL,,INE011A01019,2010-01-01,2016-02-12
ESSARPORTS.NS,ESSARPORTS,,INE282A01024,2012-04-27,2015-12-25
ESSDEE.NS,ESSDEE,,,2010-01-01,2016-09-16
ETERNAL.NS,ETERNAL,543320,INE758T01015,2022-01-14,2022-12-30
EVERONN.NS,EVERONN,,INE678H01010,2010-01-01,2013-07-19
